sample_id,RF_prediction,RF_confidence,SVM_prediction,SVM_confidence,BLAST_species,RF_vs_BLAST,SVM_vs_BLAST,RF_SVM_agree
K0909,cattle,95.0%,cattle,78.0%,cattle,SAME,SAME,YES
K0914,yak,82.0%,yak,56.6%,yak,SAME,SAME,YES
Z9850,cattle,99.5%,cattle,87.5%,cattle,SAME,SAME,YES
Z9851,cattle,99.5%,cattle,84.2%,cattle,SAME,SAME,YES
Z9852,cattle,98.5%,cattle,85.3%,cattle,SAME,SAME,YES
Z9853,yak,56.0%,yak,56.6%,yak,SAME,SAME,YES
Z9854,yak,97.5%,yak,56.6%,yak,SAME,SAME,YES
Z9855,yak,95.0%,yak,56.6%,yak,SAME,SAME,YES
Z9856,yak,95.0%,yak,56.6%,yak,SAME,SAME,YES
Z9857,cattle,90.0%,cattle,81.0%,cattle,SAME,SAME,YES
Z9858,yak,93.5%,yak,56.6%,yak,SAME,SAME,YES
Z9859,cattle,66.5%,yak,56.6%,cattle,SAME,DIFF,NO
Z9860,cattle,90.0%,yak,55.5%,cattle,SAME,DIFF,NO
Z9861,cattle,83.0%,yak,56.6%,cattle,SAME,DIFF,NO
Z9863,yak,97.5%,yak,56.6%,yak,SAME,SAME,YES
Z9864,cattle,83.0%,yak,56.6%,cattle,SAME,DIFF,NO
Z9865,cattle,66.0%,yak,56.6%,cattle,SAME,DIFF,NO
Z9867,cattle,84.0%,yak,56.6%,cattle,SAME,DIFF,NO
