ID,init_species,site,specimen,coverage,coverage_tier,prior_note
K0909,牛,西南塔遗址,牙齿,170.4,HIGH,UNSPECIFIED
K0914,牛,西南塔遗址,骨块,149.5,HIGH,UNSPECIFIED
Z9850,牛？,主遗址,左腕骨,163.2,HIGH,UNCERTAIN
Z9851,牛,主遗址,颞骨,126.6,HIGH,UNSPECIFIED
Z9852,牛,主遗址,颞骨,133.0,HIGH,UNSPECIFIED
Z9853,牛,主遗址,牙齿,2.1,LOW,UNSPECIFIED
Z9854,牛,主遗址,颞骨,143.8,HIGH,UNSPECIFIED
Z9855,牛,主遗址,牙齿,50.3,MID,UNSPECIFIED
Z9856,牛,主遗址,跟骨,80.8,MID,UNSPECIFIED
Z9857,牛？,主遗址,桡骨,84.1,MID,UNCERTAIN
Z9858,牛,主遗址,肩胛骨,84.0,MID,UNSPECIFIED
Z9859,牛？,主遗址,跟骨,21.2,MID,UNCERTAIN
Z9860,牛,主遗址,胫骨,107.0,HIGH,UNSPECIFIED
Z9861,牛,主遗址,牙齿,22.3,MID,UNSPECIFIED
Z9863,普通牛,主遗址,趾骨,81.5,MID,PRIOR_CATTLE
Z9864,牛？,主遗址,牙齿,10.9,LOW,UNCERTAIN
Z9865,牛,主遗址,牙齿,21.9,MID,UNSPECIFIED
Z9867,牦牛,主遗址,趾骨,109.9,HIGH,PRIOR_YAK
