Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos taurus isolate SRR934400 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30125,30125,100%,0.0,99.94,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT576802.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A3XG7JZ014"",""MT576802.1"")"
"Bos taurus isolate KC10 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30118,30118,100%,0.0,99.94,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124380.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A3XG7JZ014"",""DQ124380.1"")"
"Bos taurus isolate KC11 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30118,30118,100%,0.0,99.94,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124381.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A3XG7JZ014"",""DQ124381.1"")"
"Bos taurus isolate CCIG_186 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30112,30112,100%,0.0,99.93,16339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901605.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A3XG7JZ014"",""MZ901605.1"")"
"Bos taurus isolate FC2 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30112,30112,100%,0.0,99.93,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124388.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A3XG7JZ014"",""DQ124388.1"")"
"Bos taurus isolate FC16 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30108,30108,100%,0.0,99.93,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124402.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A3XG7JZ014"",""DQ124402.1"")"
"Bos taurus isolate CAEB_14 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30108,30108,100%,0.0,99.93,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901395.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A3XG7JZ014"",""MZ901395.1"")"
"Bos taurus isolate KC12 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30108,30108,100%,0.0,99.93,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ124382.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A3XG7JZ014"",""DQ124382.1"")"
"Bos taurus isolate CGKT_2 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30107,30107,100%,0.0,99.93,16340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901641.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A3XG7JZ014"",""MZ901641.1"")"
"Bos taurus isolate BHB_103 haplogroup T3 mitochondrion, complete genome",Bos taurus,domestic cattle,9913,30105,30105,100%,0.0,99.93,16338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ901389.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A3XG7JZ014"",""MZ901389.1"")"



		


