Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bos grunniens voucher Bazhou9 clone BZ9 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19256,29636,99%,0.0,99.70,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375509.1?report=genbank&log$=nucltop&blast_rank=1&RID=3A4JFST0016"",""OK375509.1"")"
"Bos grunniens isolate HZ3 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19256,29642,99%,0.0,99.70,16322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ464270.1?report=genbank&log$=nucltop&blast_rank=2&RID=3A4JFST0016"",""GQ464270.1"")"
"Bos grunniens voucher Jinchuan23 clone JC23 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19250,29619,99%,0.0,99.69,16323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375598.1?report=genbank&log$=nucltop&blast_rank=3&RID=3A4JFST0016"",""OK375598.1"")"
"Bos grunniens isolate W18 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19250,29625,99%,0.0,99.69,16322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ464252.1?report=genbank&log$=nucltop&blast_rank=4&RID=3A4JFST0016"",""GQ464252.1"")"
"Bos grunniens voucher Leiwuqi2 clone LWQ2 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19250,29631,99%,0.0,99.69,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375627.1?report=genbank&log$=nucltop&blast_rank=5&RID=3A4JFST0016"",""OK375627.1"")"
"Bos grunniens voucher Gannan4 clone GN4 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19250,29625,99%,0.0,99.69,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375554.1?report=genbank&log$=nucltop&blast_rank=6&RID=3A4JFST0016"",""OK375554.1"")"
"Bos grunniens isolate MQ1 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19245,29631,99%,0.0,99.69,16322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ464272.1?report=genbank&log$=nucltop&blast_rank=7&RID=3A4JFST0016"",""GQ464272.1"")"
"Bos grunniens voucher Pali5 clone PL5 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19245,29614,99%,0.0,99.69,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375730.1?report=genbank&log$=nucltop&blast_rank=8&RID=3A4JFST0016"",""OK375730.1"")"
"Bos grunniens voucher Jiulong13 clone JL13 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19239,29614,99%,0.0,99.68,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375613.1?report=genbank&log$=nucltop&blast_rank=9&RID=3A4JFST0016"",""OK375613.1"")"
"Bos grunniens voucher Jiulong24 clone JL24 mitochondrion, complete genome",Bos grunniens,domestic yak,30521,19233,29614,99%,0.0,99.67,16324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK375624.1?report=genbank&log$=nucltop&blast_rank=10&RID=3A4JFST0016"",""OK375624.1"")"



		


